test,result,note
test-net-access-byteswritten.js,PASS,""
test-net-after-close.js,PASS,""
test-net-autoselectfamily-attempt-timeout-default-value.js,PASS,""
test-net-autoselectfamily-default.js,TIMEOUT,""
test-net-autoselectfamily-ipv4first.js,PASS,""
test-net-better-error-messages-listen-path.js,FAIL,"src/milo/lib/assert.js:391"
test-net-better-error-messages-listen.js,FAIL,"src/milo/lib/assert.js:391"
test-net-better-error-messages-path.js,FAIL,"    if (isPipe) { const e = new Error('Pipe/Unix sockets not yet implemented'); e.code = 'ERR_FEATURE_UNAVAILABLE_ON_PLA"
test-net-better-error-messages-port-hostname.js,TIMEOUT,""
test-net-bind-twice.js,PASS,""
test-net-blocklist.js,FAIL,"      const e = new Error(`connect ${code} ${this.remoteAddress}:${this.remotePort}`);"
test-net-buffersize.js,FAIL,"src/milo/lib/assert.js:391"
test-net-bytes-written-large.js,TIMEOUT,""
test-net-can-reset-timeout.js,PASS,""
test-net-child-process-connect-reset.js,FAIL,"    const err = new Error('spawn ' + file + ' ENOENT');"
test-net-connect-abort-controller.js,TIMEOUT,""
test-net-connect-after-destroy.js,PASS,""
test-net-connect-buffer.js,FAIL,"src/milo/lib/assert.js:391"
test-net-connect-buffer2.js,FAIL,"src/milo/lib/assert.js:391"
test-net-connect-call-socket-connect.js,PASS,""
test-net-connect-destroy.js,PASS,""
test-net-connect-immediate-destroy.js,PASS,""
test-net-connect-immediate-finish.js,FAIL,"src/milo/lib/assert.js:391"
test-net-connect-keepalive.js,FAIL,""
test-net-connect-no-arg.js,PASS,""
test-net-connect-nodelay.js,FAIL,""
test-net-connect-options-invalid.js,PASS,""
test-net-connect-options-ipv6.js,FAIL,"src/milo/lib/assert.js:391"
test-net-connect-options-path.js,FAIL,"      const e = new Error('Pipe/Unix sockets not yet implemented');"
test-net-connect-options-port.js,TIMEOUT,""
test-net-connect-reset-before-connected.js,PASS,""
test-net-connect-reset.js,FAIL,"    at Proxy.expectsError (test/common/index.js:732:10)"
test-net-dns-custom-lookup.js,FAIL,"src/milo/lib/assert.js:810"
test-net-dns-error.js,FAIL,"      const e = new Error(`connect ${code} ${this.remoteAddress}:${this.remotePort}`);"
test-net-dns-lookup-skip.js,PASS,""
test-net-dns-lookup.js,FAIL,""
test-net-during-close.js,PASS,""
test-net-eaddrinuse.js,PASS,""
test-net-end-without-connect.js,PASS,""
test-net-isip.js,PASS,""
test-net-isipv4.js,PASS,""
test-net-isipv6.js,PASS,""
test-net-keepalive.js,PASS,""
test-net-listen-after-destroying-stdin.js,PASS,""
test-net-listen-close-server-callback-is-not-function.js,FAIL,"src/milo/lib/assert.js:391"
test-net-listen-close-server.js,FAIL,"src/milo/lib/assert.js:391"
test-net-listen-error.js,PASS,""
test-net-listen-exclusive-random-ports.js,FAIL,"    process.nextTick(() => child.emit('error', new Error('fork ' + modulePath + ' failed')));"
test-net-listen-fd0.js,TIMEOUT,""
